Episode,Name,Speaker,Quote
S01E01,"Good News, Bad News",Claire,Trust me George. No one has any interest in seeing you on caffeine.
S01E01,"Good News, Bad News",Jerry,"Oh, I get it, this is about the button."
S01E01,"Good News, Bad News",Jerry,"You, you can't overdry."
S01E01,"Good News, Bad News",George,Hand sandwich.
S01E02,The Robbery,Jerry,"One more thing, Benes, regarding sexual activity: Strictly prohibited, but if you absolutely must, do us all a big favour. Do it in the tub."
S01E04,The Stock Tip,Elaine,Superman can go back in time?
S02E01,The Ex-Girlfriend,Jerry,You should just do it like a Band-Aid. One motion! Right off!
S02E01,The Ex-Girlfriend,Elaine,"Hello, Jerry."
S02E01,The Ex-Girlfriend,Jerry,I don't return fruit. Fruit is a gamble. I know that going in.
S02E01,The Ex-Girlfriend,Jerry,What is this obsession people have with books? They put them in their houses like they're trophies. What do you need it for after you read it?
S02E01,The Ex-Girlfriend,Jerry,You're a cashier!
S02E02,The Pony Remark,Jerry,"I know, I hated those kids. In fact, I hate anyone that ever had a pony when they were growing up."
S02E02,The Pony Remark,Jerry,Who figures an immigrant's gonna have a pony?
S02E03,The Jacket,George,Can I say one thing to you? And I say this with an unblemished record of staunch heterosexuality.
S02E03,The Jacket,Alton,We had a funny guy with us in Korea. Tailgunner. They blew his brains out all over the Pacific. There's nothing funny about that.
S02E04,The Phone Message,George,"She invited me up. Coffee's not coffee, coffee is sex."
S02E04,The Phone Message,Kramer,Oh. Cotton Dockers!
S02E05,The Apartment,Elaine,Get out!
S02E05,The Apartment,George,Are you kidding? I lie every second of the day. My whole life is a sham!
S02E05,The Apartment,Jerry,People don't turn down money. It's what separates us from the animals.
S02E07,The Revenge,Jerry,"Oh, the best revenge is living well."
S02E08,The Heart Attack,Jerry,Women go after doctors like men go after models. They want someone with knowledge of the body.. we just want the body.
S02E11,The Chinese Restaurant,George,"You know, we're living in a society! We're supposed to act in a civilized way."
S02E11,The Chinese Restaurant,George,I'm Cartwright!
S02E12,The Busboy,George,Anywhere in the city - I'll tell you the best public toilet.
S03E01,The Note,George,I can't get a massage from a man.
S03E01,The Note,George,I think it moved.
S03E01,The Note,Elaine,And he's dunking!
S03E02,The Truth,George,Nothing It's not you. It's me. I have a fear of commitment. I don't know how to love.
S03E03,The Pen,Jack,This is an astronaut pen. It writes upside down. They use this in space.
S03E05,The Library,Jerry,This you're not goin' to believe. The NYPL says that I took out Tropic of Cancer in 1971 and never returned it.
S03E05,The Library,Kramer,"The Dewey Decimal System, what a scam that was. Boy that Dewey guy really cleaned up on that deal."
S03E05,The Library,Kramer,"Bookman? The library investigator's name is actually, Bookman?"
S03E05,The Library,Heyman,Can't Stand Ya'.
S03E06,The Parking Garage,Jerry,Why do I always have the feeling that everybody's doing something better than me on Saturday afternoons?
S03E06,The Parking Garage,George,I can't carry a pen. I'm afraid I'll puncture my scrotum.
S03E06,The Parking Garage,Jerry,I have uromysitisis. It's very serious you know.
S03E10,The Stranded,Elaine,Maybe the dingo ate your baby.
S03E10,The Stranded,Elaine,The dingo ate your baby!
S03E11,The Alternate Side,Jerry,But the reservation keeps the car here. That's why you have the reservation.
S03E11,The Alternate Side,Jerry,"Yeah, you better give me the insurance, because I am gonna beat the hell out of this car."
S03E11,The Alternate Side,George,'These pretzels are making me thirsty!!'
S03E11,The Alternate Side,Jerry,These pretzels are making me thirsty.
S03E12,The Red Dot,Lippman,Art Vandelay?
S03E13,The Subway,Kramer,"Oh, this baby loves the slob, loves it, eats it up. Eats the slob. Born in the slob. His father was a mudda'."
S03E13,The Subway,Kramer,His mudda' was a mudda'.
S03E14,The Pez Dispenser,Jerry,"[with glee] What is that, a Pez dispenser?!"
S03E14,The Pez Dispenser,Kramer,You know I got a great idea for a cologne. The Beach. You spray it on and you smell like you just came home from the beach
S03E14,The Pez Dispenser,George,I have no power Do you understand? I need hand. I have no hand.
S03E14,The Pez Dispenser,Steve,That is the dumbest idea I have ever heard.
S03E14,The Pez Dispenser,Man,The male kangaroo doesn't have a pouch only the female has it. The male has pouch envy.
S03E14,The Pez Dispenser,George,You can't break up with me. I've got hand.
S03E15,The Suicide,Jerry,"Nah, I don't go for these non-refundable deals. I can't commit to a woman. I'm not going to commit to an airline."
S03E15,The Suicide,Jerry,Hello Newman.
S03E17,The Boyfriend (1),Kramer,KEITH HERNANDEZ?
S03E17,The Boyfriend (1),Jerry,Hellooo Newman.
S03E17,The Boyfriend (1),Kramer,Back and to the left
S03E17,The Boyfriend (1),Jerry,And you want to be my latex salesman.
S03E18,The Boyfriend (2),Keith,[mind] I'm Keith Hernandez.
S03E19,The Limo,George,You know we're living in a society!
S03E19,The Limo,Jerry,"She's a Nazi, George. A Nazi!"
S03E19,The Limo,Elaine,"No, he's just neat."
S03E20,The Good Samaritan,Jerry,"You know, if you want to make a person feel better after they sneeze, you shouldn't say 'God bless you', you should say, 'You're soo good lookin''."
S03E23,The Keys,Jerry,"Hello, Newman."
S04E03,The Pitch,Jerry,"You know why? Because people like to say 'salsa.' 'Excuse me, do you have salsa?' 'We need more salsa.' 'Where is the salsa? No salsa?'"
