Time of request,Searched barcode,Returned item name,Returned price,Returned image URL
26/07/25 10:54:43 pm,1,UNKNOWN PRODUCT,N/A,N/A
26/07/25 10:53:29 pm,1,UNKNOWN PRODUCT,N/A,N/A
26/07/25 10:53:01 pm,1,UNKNOWN PRODUCT,N/A,N/A
26/07/25 10:51:41 pm,1,UNKNOWN PRODUCT,N/A,N/A
26/07/25 10:50:11 pm,1,UNKNOWN PRODUCT,N/A,N/A
26/07/25 10:49:12 pm,1,UNKNOWN PRODUCT,N/A,N/A
26/07/25 10:48:11 pm,1,UNKNOWN PRODUCT,N/A,N/A
26/07/25 10:47:23 pm,1,UNKNOWN PRODUCT,N/A,N/A
26/07/25 10:46:47 pm,1,UNKNOWN PRODUCT,N/A,N/A
26/07/25 10:46:38 pm,1,UNKNOWN PRODUCT,N/A,N/A
26/07/25 10:45:42 pm,,UNKNOWN PRODUCT,N/A,N/A
26/07/25 10:45:30 pm,10374,Beanie - Black Kangaroo Australia,$7.30,https://www.adelaidesouvenirwarehouse.com.au/uploads/1/4/9/0/149075467/s401359362883532712_p27567_i1_w1500.png
26/07/25 10:45:14 pm,10234,Shopping Bag Large - Navy Flag,$4.95,https://www.adelaidesouvenirwarehouse.com.au/uploads/1/4/9/0/149075467/s401359362883532712_p28239_i1_w1500.png
26/07/25 10:42:41 pm,10486,Boxed Kangaroo Scrotum,$21.95,https://www.adelaidesouvenirwarehouse.com.au/uploads/1/4/9/0/149075467/s401359362883532712_p27804_i1_w1200.png
26/07/25 10:42:00 pm,12134,UNKNOWN PRODUCT,N/A,N/A
26/07/25 10:33:15 pm,10374,KEEP API FRESH - Beanie - Black Kangaroo Australia,$7.30,https://www.adelaidesouvenirwarehouse.com.au/uploads/1/4/9/0/149075467/s401359362883532712_p27567_i1_w1500.png
26/07/25 10:15:06 pm,11290,KEEP API FRESH - Hand Puppet - Platypus,$8.95,https://www.adelaidesouvenirwarehouse.com.au/uploads/1/4/9/0/149075467/s401359362883532712_p26161_i1_w1500.png
26/07/25 10:03:24 pm,14245,KEEP API FRESH - Cap - Embroidered Kangaroo,$4.95,https://www.adelaidesouvenirwarehouse.com.au/uploads/1/4/9/0/149075467/s401359362883532712_p25768_i1_w1500.png
